sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
123,139.0298390142961,-745.19774752823,-213.97930463,1,1,1,0,0,0,0
124,97.91994015603008,-1245.66230208742,-245.30612481291217,1,1,1,1,1,0,0
125,788.7994254373972,-421.7318674530237,-213.97930463,1,0,0,0,0,0,0
126,-1090.7706935619062,-1487.1819670336765,-223.7982850978463,1,1,1,1,1,0,0
127,-1860.5692061490358,-2264.7206151552678,-245.30612481291215,1,1,1,1,1,1,1
128,-846.2773444718578,-1199.973159766468,-222.97585359,1,1,1,1,1,0,0
129,-107.15981616702229,-708.9999358205832,-245.30612481291215,1,1,1,0,0,0,0
130,-832.3029453312987,-1515.403604401248,-223.6667963068574,1,1,1,1,1,0,0
131,477.12504467952976,-834.8245492520974,-222.97585359000004,1,1,0,0,0,0,0
132,828.978125603279,-618.6421369112979,-213.97930463000003,1,1,1,0,0,0,0
133,155.8310048719423,-604.5819317525394,-245.30612481291215,1,1,0,0,0,0,0
134,-188.76653922587025,-1343.2232780997,-223.79828509784636,1,1,1,1,0,0,0
135,-401.33909840328226,-1053.0605313892786,-223.66679630685746,1,1,1,1,1,0,0
136,475.711744056288,-729.4732032367895,-222.97585359000004,0,0,0,0,0,0,0
137,-1744.102002754447,-2138.988401357234,-245.30612481291217,1,1,1,1,1,1,0
138,-261.12982681618774,-1376.042387126096,-216.27970657331147,1,1,1,1,1,0,0
139,-1404.9579869669199,-1612.6129913719983,-230.90973585471846,1,1,1,1,1,1,0
140,831.9014446663848,-865.1194120045852,-245.30612481291215,1,1,1,0,0,0,0
141,1045.5936451122532,-603.2634480455181,-213.97930463000006,0,0,0,0,0,0,0
142,-882.2097150442718,-1327.959543235872,-222.97585359000004,1,1,1,1,0,0,0
143,99.62687716602105,-1124.8648031141793,-245.30612481291217,1,1,0,0,0,0,0
144,-833.0927675185214,-1430.5146650339157,-238.1621572995804,1,1,1,1,1,0,0
145,-87.19665046553291,-654.7877696565773,-213.97930463,1,1,1,0,0,0,0
146,-585.6117860793918,-1461.4421146562736,-223.66679630685752,1,1,1,0,0,0,0
147,165.76851601603985,-705.7011836681047,-216.84916643685744,1,1,1,0,0,0,0
148,48.5846647559075,-1310.7322356796963,-222.97585358999999,1,1,1,0,0,0,0
149,-1684.6648160261661,-1793.0408028028005,-213.97930463000003,1,1,1,1,1,1,0
150,-1367.6906911948936,-2391.127717563182,-245.3061248129122,1,1,1,1,1,1,1
151,-336.6221484955049,-1239.243309347071,-230.90973585471855,1,1,1,1,0,0,0
152,-49.51323304116234,-1030.0684083206525,-223.7982850978463,1,1,1,0,0,0,0
153,1883.693036584009,-501.977476060001,-213.97930463000003,0,0,0,0,0,0,0
154,1595.335123908445,-453.86125124193495,-213.97930463000003,0,0,0,0,0,0,0
155,825.2263187803052,-794.8505474651242,-245.30612481291215,1,1,1,0,0,0,0
156,-460.11676337699566,-1053.9966789347181,-223.79828509784627,1,1,1,1,1,0,0
157,410.51492056164506,-687.671491439231,-230.90973585471843,0,0,0,0,0,0,0
158,-729.7916828357312,-1211.7037582046864,-245.30612481291212,1,1,1,1,1,0,0
159,-279.12015201469126,-1037.2995031213306,-213.97930463000003,1,1,0,0,0,0,0
160,-311.72937114877163,-1192.2563261091043,-222.97585359,1,1,0,0,0,0,0
161,-184.74617007958798,-945.9698584211635,-213.97930463000003,1,1,1,0,0,0,0
162,-857.065466732827,-1678.5087025282826,-213.97930463000003,1,1,1,1,1,0,0
163,-99.74093086619564,-851.6099311243806,-205.60445002608765,1,1,0,0,0,0,0
164,-1585.8377213150598,-1749.8680784428877,-223.79828509784627,1,1,1,1,1,1,0
165,-618.0314158357054,-839.6344678754408,-223.79828509784625,1,1,1,1,0,0,0
166,-99.69186338863251,-968.3533363677399,-230.90973585471843,1,1,1,1,0,0,0
167,-610.803109208456,-962.5689893017915,-213.97930463000006,1,1,1,1,0,0,0
168,97.76701626345996,-858.6860727625235,-223.66679630685752,1,1,0,0,0,0,0
169,-1565.4086241895359,-1869.519031143467,-213.97930462999997,1,1,1,1,1,1,0
170,-186.0544407429622,-724.9247784206851,-245.30612481291215,1,1,1,0,0,0,0
